shipName,Classe,ano,mes,consumo_total,consumo_medio,num_viagens,distancia_total,duracao_total,consumo_por_milha,consumo_por_hora
FELIPE RIBEIRO,Suezmax,2023,7,448.2,21.34,21,2230.0,220.3,0.201,2.0345
FÁBIO SANTOS,Gaseiro 7k,2023,7,138.4,4.94,28,3606.0,317.03,0.0384,0.4366
GABRIELA MARTINS,Aframax,2023,7,746.86,29.87,25,5757.0,484.5,0.1297,1.5415
GISELLE CARVALHO,Suezmax,2023,7,817.3,29.19,28,5077.1,524.22,0.161,1.5591
HENRIQUE ALVES,Suezmax,2023,7,1230.0,42.41,29,8050.0,644.15,0.1528,1.9095
LUCAS MENDONÇA,MR 2,2023,7,412.2,14.72,28,4800.5,400.47,0.0859,1.0293
MARCOS CAVALCANTI,Suezmax,2023,7,304.3,14.49,21,2129.4,212.7,0.1429,1.4307
MARIA VALENTINA,Gaseiro 7k,2023,7,150.8,3.87,39,4410.0,570.34,0.0342,0.2644
PAULO MOURA,Suezmax,2023,7,687.63,21.49,32,4492.0,382.59,0.1531,1.7973
RAFAEL SANTOS,Suezmax,2023,7,478.27,22.77,21,3442.5,283.0,0.1389,1.69
RAUL MARTINS,Suezmax,2023,7,1133.87,42.0,27,6099.0,537.3,0.1859,2.1103
RENATO GOMES,Aframax,2023,7,670.78,29.16,23,5846.0,657.6,0.1147,1.02
RICARDO BARBOSA,Gaseiro 7k,2023,7,121.0,4.65,26,2929.0,626.57,0.0413,0.1931
RODRIGO PINHEIRO,Aframax,2023,7,801.55,28.63,28,6018.0,495.53,0.1332,1.6176
ROMARIO SILVA,MR 2,2023,7,110.0,7.86,14,1434.5,124.26,0.0767,0.8852
THIAGO FERNANDES,MR 2,2023,7,327.6,14.89,22,3705.0,294.83,0.0884,1.1111
TOTAL_FROTA,TODAS,2023,7,11005.05,20.3,542,93364.5,8764.66,0.1179,1.2556
VICTOR OLIVEIRA,Suezmax,2023,7,868.14,31.0,28,7091.5,590.83,0.1224,1.4694
BRUNO LIMA,Gaseiro 7k,2023,8,91.18,6.51,14,3088.0,235.25,0.0295,0.3876
CARLA SILVA,Aframax,2023,8,233.2,10.14,23,2229.0,208.97,0.1046,1.1159
DANIEL PEREIRA,Aframax,2023,8,183.0,7.96,23,2403.0,326.21,0.0762,0.561
EDUARDO COSTA,MR 2,2023,8,313.49,10.45,30,3509.0,298.7,0.0893,1.0495
FELIPE RIBEIRO,Suezmax,2023,8,372.12,11.28,33,1927.0,197.87,0.1931,1.8806
FÁBIO SANTOS,Gaseiro 7k,2023,8,111.19,3.71,30,3529.0,294.26,0.0315,0.3779
GABRIELA MARTINS,Aframax,2023,8,1058.82,28.62,37,7820.0,708.51,0.1354,1.4944
GISELLE CARVALHO,Suezmax,2023,8,642.5,20.73,31,3865.6,336.63,0.1662,1.9086
HENRIQUE ALVES,Suezmax,2023,8,799.0,27.55,29,5323.5,517.33,0.1501,1.5445
LUCAS MENDONÇA,MR 2,2023,8,178.92,6.63,27,2766.0,252.8,0.0647,0.7078
MARCOS CAVALCANTI,Suezmax,2023,8,1093.04,34.16,32,8152.0,725.83,0.1341,1.5059
MARIA VALENTINA,Gaseiro 7k,2023,8,137.85,5.11,27,3869.0,304.06,0.0356,0.4534
PAULO MOURA,Suezmax,2023,8,673.95,26.96,25,4470.4,374.45,0.1508,1.7998
RAFAEL SANTOS,Suezmax,2023,8,585.0,25.43,23,5062.0,376.4,0.1156,1.5542
RAUL MARTINS,Suezmax,2023,8,858.0,37.3,23,5391.0,428.56,0.1592,2.0021
RENATO GOMES,Aframax,2023,8,315.93,21.06,15,2483.0,427.11,0.1272,0.7397
RICARDO BARBOSA,Gaseiro 7k,2023,8,153.87,5.92,26,4543.0,440.93,0.0339,0.349
RODRIGO PINHEIRO,Aframax,2023,8,814.25,22.01,37,7203.0,565.3,0.113,1.4404
ROMARIO SILVA,MR 2,2023,8,306.55,9.89,31,3776.5,307.74,0.0812,0.9961
THIAGO FERNANDES,MR 2,2023,8,297.33,12.39,24,4893.0,421.91,0.0608,0.7047
TOTAL_FROTA,TODAS,2023,8,10391.19,18.29,568,94045.0,8449.82,0.1105,1.2298
VICTOR OLIVEIRA,Suezmax,2023,8,1172.0,41.86,28,7742.0,701.0,0.1514,1.6719
BRUNO LIMA,Gaseiro 7k,2023,9,115.6,8.26,14,3459.5,275.66,0.0334,0.4194
CARLA SILVA,Aframax,2023,9,539.5,24.52,22,3024.0,306.97,0.1784,1.7575
DANIEL PEREIRA,Aframax,2023,9,425.5,22.39,19,4311.0,353.52,0.0987,1.2036
EDUARDO COSTA,MR 2,2023,9,357.11,14.88,24,3640.0,390.0,0.0981,0.9157
FELIPE RIBEIRO,Suezmax,2023,9,114.95,6.76,17,638.0,66.18,0.1802,1.7369
FÁBIO SANTOS,Gaseiro 7k,2023,9,81.37,2.91,28,2704.8,231.51,0.0301,0.3515
GABRIELA MARTINS,Aframax,2023,9,530.75,25.27,21,3632.0,421.28,0.1461,1.2599
GISELLE CARVALHO,Suezmax,2023,9,998.36,38.4,26,5814.0,471.57,0.1717,2.1171
HENRIQUE ALVES,Suezmax,2023,9,586.0,22.54,26,4555.0,380.74,0.1286,1.5391
LUCAS MENDONÇA,MR 2,2023,9,243.93,8.71,28,3514.0,275.47,0.0694,0.8855
MARCOS CAVALCANTI,Suezmax,2023,9,34.57,5.76,6,192.0,22.14,0.1801,1.5614
MARIA VALENTINA,Gaseiro 7k,2023,9,155.63,7.41,21,4494.0,353.09,0.0346,0.4408
PAULO MOURA,Suezmax,2023,9,608.5,20.98,29,4215.0,418.36,0.1444,1.4545
RAFAEL SANTOS,Suezmax,2023,9,332.1,25.55,13,2830.0,259.2,0.1173,1.2813
RAUL MARTINS,Suezmax,2023,9,746.0,39.26,19,4587.0,375.33,0.1626,1.9876
RENATO GOMES,Aframax,2023,9,659.0,29.95,22,4560.0,515.49,0.1445,1.2784
RICARDO BARBOSA,Gaseiro 7k,2023,9,156.75,7.12,22,4060.0,352.66,0.0386,0.4445
RODRIGO PINHEIRO,Aframax,2023,9,808.29,31.09,26,7047.0,576.6,0.1147,1.4018
ROMARIO SILVA,MR 2,2023,9,184.62,5.43,34,2575.0,245.75,0.0717,0.7513
THIAGO FERNANDES,MR 2,2023,9,241.84,8.64,28,2929.0,217.73,0.0826,1.1107
TOTAL_FROTA,TODAS,2023,9,8532.46,18.47,462,77083.3,6837.75,0.1107,1.2478
VICTOR OLIVEIRA,Suezmax,2023,9,612.09,36.01,17,4302.0,328.5,0.1423,1.8633
BRUNO LIMA,Gaseiro 7k,2023,10,52.95,3.78,14,1556.0,131.09,0.034,0.4039
CARLA SILVA,Aframax,2023,10,1200.3,35.3,34,6611.0,694.59,0.1816,1.7281
DANIEL PEREIRA,Aframax,2023,10,1116.0,31.89,35,8761.0,694.13,0.1274,1.6078
EDUARDO COSTA,MR 2,2023,10,273.43,13.67,20,2710.0,244.37,0.1009,1.1189
FELIPE RIBEIRO,Suezmax,2023,10,89.06,6.36,14,452.0,125.35,0.197,0.7105
FÁBIO SANTOS,Gaseiro 7k,2023,10,35.84,1.56,23,1255.0,102.5,0.0286,0.3497
GABRIELA MARTINS,Aframax,2023,10,933.23,29.16,32,7605.0,604.8,0.1227,1.543
GISELLE CARVALHO,Suezmax,2023,10,886.0,42.19,21,5423.0,425.92,0.1634,2.0802
HENRIQUE ALVES,Suezmax,2023,10,565.0,15.69,36,4703.0,398.29,0.1201,1.4186
LUCAS MENDONÇA,MR 2,2023,10,204.78,12.05,17,2140.0,249.4,0.0957,0.8211
MARCOS CAVALCANTI,Suezmax,2023,10,951.51,31.72,30,8031.5,688.6,0.1185,1.3818
MARIA VALENTINA,Gaseiro 7k,2023,10,62.6,4.47,14,2105.0,159.92,0.0297,0.3914
PAULO MOURA,Suezmax,2023,10,971.9,34.71,28,7215.0,566.63,0.1347,1.7152
RAFAEL SANTOS,Suezmax,2023,10,607.0,26.39,23,3472.2,276.1,0.1748,2.1985
RAUL MARTINS,Suezmax,2023,10,853.0,24.37,35,5279.0,500.22,0.1616,1.7052
RENATO GOMES,Aframax,2023,10,1065.4,33.29,32,7565.0,663.6,0.1408,1.6055
RICARDO BARBOSA,Gaseiro 7k,2023,10,159.05,6.12,26,3484.0,310.74,0.0457,0.5118
RODRIGO PINHEIRO,Aframax,2023,10,879.02,27.47,32,6830.0,585.9,0.1287,1.5003
ROMARIO SILVA,MR 2,2023,10,2.5,0.83,3,11.0,2.67,0.2273,0.9363
THIAGO FERNANDES,MR 2,2023,10,329.9,11.38,29,4578.0,332.75,0.0721,0.9914
TOTAL_FROTA,TODAS,2023,10,11744.96,22.46,523,93372.7,8062.72,0.1258,1.4567
VICTOR OLIVEIRA,Suezmax,2023,10,506.49,20.26,25,3586.0,305.15,0.1412,1.6598
BRUNO LIMA,Gaseiro 7k,2023,11,146.92,3.77,39,4342.68,352.42,0.0338,0.4169
CARLA SILVA,Aframax,2023,11,382.5,11.59,33,3162.0,343.3,0.121,1.1142
DANIEL PEREIRA,Aframax,2023,11,301.0,16.72,18,2101.0,234.32,0.1433,1.2846
EDUARDO COSTA,MR 2,2023,11,202.38,10.65,19,1780.0,185.32,0.1137,1.0921
FELIPE RIBEIRO,Suezmax,2023,11,160.7,12.36,13,611.0,81.2,0.263,1.9791
FÁBIO SANTOS,Gaseiro 7k,2023,11,98.2,4.27,23,2392.0,241.59,0.0411,0.4065
GABRIELA MARTINS,Aframax,2023,11,592.7,25.77,23,5257.0,450.25,0.1127,1.3164
GISELLE CARVALHO,Suezmax,2023,11,1199.0,35.26,34,7025.0,572.0,0.1707,2.0962
HENRIQUE ALVES,Suezmax,2023,11,858.0,26.81,32,5873.0,511.94,0.1461,1.676
LUCAS MENDONÇA,MR 2,2023,11,50.0,8.33,6,592.0,54.3,0.0845,0.9208
MARCOS CAVALCANTI,Suezmax,2023,11,585.62,17.22,34,4273.0,450.47,0.1371,1.3
MARIA VALENTINA,Gaseiro 7k,2023,11,118.0,4.07,29,4001.0,425.58,0.0295,0.2773
PAULO MOURA,Suezmax,2023,11,263.94,11.0,24,2036.0,170.97,0.1296,1.5438
RAFAEL SANTOS,Suezmax,2023,11,393.0,13.1,30,3246.0,286.87,0.1211,1.37
RAUL MARTINS,Suezmax,2023,11,814.15,30.15,27,4888.8,415.93,0.1665,1.9574
RENATO GOMES,Aframax,2023,11,325.8,16.29,20,2385.92,218.29,0.1366,1.4925
RICARDO BARBOSA,Gaseiro 7k,2023,11,149.39,3.83,39,3453.0,604.75,0.0433,0.247
RODRIGO PINHEIRO,Aframax,2023,11,347.51,15.8,22,2839.0,260.07,0.1224,1.3362
ROMARIO SILVA,MR 2,2023,11,265.19,8.84,30,4103.3,357.44,0.0646,0.7419
THIAGO FERNANDES,MR 2,2023,11,265.7,15.63,17,3203.0,247.67,0.083,1.0728
TOTAL_FROTA,TODAS,2023,11,8367.2,15.3,547,73900.7,6994.31,0.1132,1.1963
VICTOR OLIVEIRA,Suezmax,2023,11,847.5,24.21,35,6336.0,529.63,0.1338,1.6002
BRUNO LIMA,Gaseiro 7k,2023,12,82.45,4.58,18,2605.0,206.26,0.0317,0.3997
CARLA SILVA,Aframax,2023,12,3.9,1.3,3,22.0,3.1,0.1773,1.2581
DANIEL PEREIRA,Aframax,2023,12,665.5,27.73,24,5518.0,449.01,0.1206,1.4821
EDUARDO COSTA,MR 2,2023,12,281.3,17.58,16,3025.5,241.9,0.093,1.1629
FELIPE RIBEIRO,Suezmax,2023,12,206.1,9.81,21,847.0,114.4,0.2433,1.8016
FÁBIO SANTOS,Gaseiro 7k,2023,12,102.54,3.31,31,3041.0,254.13,0.0337,0.4035
GABRIELA MARTINS,Aframax,2023,12,792.95,24.78,32,6320.0,595.95,0.1255,1.3306
GISELLE CARVALHO,Suezmax,2023,12,837.0,36.39,23,4877.0,392.83,0.1716,2.1307
HENRIQUE ALVES,Suezmax,2023,12,115.0,6.39,18,960.0,76.15,0.1198,1.5102
MARCOS CAVALCANTI,Suezmax,2023,12,484.9,17.32,28,3159.0,301.88,0.1535,1.6063
MARIA VALENTINA,Gaseiro 7k,2023,12,119.51,3.98,30,3978.0,380.75,0.03,0.3139
PAULO MOURA,Suezmax,2023,12,967.24,30.23,32,6621.0,555.73,0.1461,1.7405
RAFAEL SANTOS,Suezmax,2023,12,605.0,20.86,29,4868.5,369.9,0.1243,1.6356
RAUL MARTINS,Suezmax,2023,12,242.23,18.63,13,1323.8,262.33,0.183,0.9234
RICARDO BARBOSA,Gaseiro 7k,2023,12,126.11,3.94,32,4182.0,537.06,0.0302,0.2348
RODRIGO PINHEIRO,Aframax,2023,12,778.05,22.23,35,7248.0,575.13,0.1073,1.3528
ROMARIO SILVA,MR 2,2023,12,232.81,6.85,34,2913.9,292.7,0.0799,0.7954
THIAGO FERNANDES,MR 2,2023,12,266.0,14.78,18,3199.0,256.37,0.0832,1.0376
TOTAL_FROTA,TODAS,2023,12,7622.59,16.46,463,70952.7,6369.13,0.1074,1.1968
VICTOR OLIVEIRA,Suezmax,2023,12,714.0,27.46,26,6244.0,503.55,0.1143,1.4179
DANIEL PEREIRA,Aframax,2024,1,487.5,24.38,20,3308.0,299.94,0.1474,1.6253
EDUARDO COSTA,MR 2,2024,1,403.5,13.91,29,4486.7,381.67,0.0899,1.0572
FELIPE RIBEIRO,Suezmax,2024,1,64.42,8.05,8,355.0,43.05,0.1815,1.4964
FÁBIO SANTOS,Gaseiro 7k,2024,1,130.86,3.97,33,4166.4,335.38,0.0314,0.3902
GABRIELA MARTINS,Aframax,2024,1,747.0,22.64,33,5803.0,601.73,0.1287,1.2414
GISELLE CARVALHO,Suezmax,2024,1,1595.0,49.84,32,8878.0,663.25,0.1797,2.4048
HENRIQUE ALVES,Suezmax,2024,1,894.0,33.11,27,6615.0,519.9,0.1351,1.7196
MARCOS CAVALCANTI,Suezmax,2024,1,925.6,31.92,29,6748.0,539.4,0.1372,1.716
MARIA VALENTINA,Gaseiro 7k,2024,1,154.65,5.95,26,4692.0,361.49,0.033,0.4278
PAULO MOURA,Suezmax,2024,1,915.5,25.43,36,6814.0,504.83,0.1344,1.8135
RAFAEL SANTOS,Suezmax,2024,1,223.0,12.39,18,2010.0,161.26,0.1109,1.3829
RAUL MARTINS,Suezmax,2024,1,666.05,26.64,25,3788.2,320.52,0.1758,2.078
RENATO GOMES,Aframax,2024,1,338.0,18.78,18,4396.0,413.19,0.0769,0.818
RICARDO BARBOSA,Gaseiro 7k,2024,1,117.07,4.34,27,4338.0,359.58,0.027,0.3256
RODRIGO PINHEIRO,Aframax,2024,1,752.5,25.95,29,5499.0,463.25,0.1368,1.6244
ROMARIO SILVA,MR 2,2024,1,415.14,11.86,35,5088.5,382.9,0.0816,1.0842
THIAGO FERNANDES,MR 2,2024,1,188.13,8.96,21,2259.0,164.87,0.0833,1.1411
TOTAL_FROTA,TODAS,2024,1,9873.92,21.01,470,85694.8,6995.91,0.1152,1.4114
VICTOR OLIVEIRA,Suezmax,2024,1,856.0,35.67,24,6450.0,479.7,0.1327,1.7844
BRUNO LIMA,Gaseiro 7k,2024,2,78.5,5.61,14,1635.1,219.75,0.048,0.3572
CARLA SILVA,Aframax,2024,2,81.0,16.2,5,674.0,63.8,0.1202,1.2696
DANIEL PEREIRA,Aframax,2024,2,430.0,26.88,16,3386.0,267.83,0.127,1.6055
EDUARDO COSTA,MR 2,2024,2,253.84,7.47,34,2634.2,259.03,0.0964,0.98
FELIPE RIBEIRO,Suezmax,2024,2,203.99,17.0,12,393.0,140.03,0.5191,1.4568
FÁBIO SANTOS,Gaseiro 7k,2024,2,124.93,4.16,30,3713.0,338.06,0.0336,0.3695
GABRIELA MARTINS,Aframax,2024,2,746.7,31.11,24,5520.0,477.1,0.1353,1.5651
GISELLE CARVALHO,Suezmax,2024,2,834.0,29.79,28,5014.3,394.41,0.1663,2.1146
HENRIQUE ALVES,Suezmax,2024,2,501.0,26.37,19,3813.0,285.8,0.1314,1.753
LUCAS MENDONÇA,MR 2,2024,2,47.95,4.0,12,359.7,73.0,0.1333,0.6568
MARCOS CAVALCANTI,Suezmax,2024,2,409.6,17.07,24,3389.5,288.6,0.1208,1.4193
MARIA VALENTINA,Gaseiro 7k,2024,2,142.56,5.48,26,3984.0,338.83,0.0358,0.4207
PAULO MOURA,Suezmax,2024,2,514.9,17.76,29,3624.6,424.12,0.1421,1.214
RAFAEL SANTOS,Suezmax,2024,2,1321.3,45.56,29,8199.0,696.0,0.1612,1.8984
RAUL MARTINS,Suezmax,2024,2,1007.0,30.52,33,5559.0,618.93,0.1811,1.627
RENATO GOMES,Aframax,2024,2,849.0,28.3,30,7911.0,662.95,0.1073,1.2806
RICARDO BARBOSA,Gaseiro 7k,2024,2,100.53,4.79,21,3112.0,259.18,0.0323,0.3879
RODRIGO PINHEIRO,Aframax,2024,2,339.55,17.87,19,3138.0,271.09,0.1082,1.2525
ROMARIO SILVA,MR 2,2024,2,111.67,3.85,29,1779.5,131.17,0.0628,0.8513
THIAGO FERNANDES,MR 2,2024,2,209.77,7.49,28,1990.0,350.33,0.1054,0.5988
TOTAL_FROTA,TODAS,2024,2,9032.28,18.58,486,75940.9,7071.21,0.1189,1.2773
VICTOR OLIVEIRA,Suezmax,2024,2,724.5,30.19,24,6112.0,511.2,0.1185,1.4173
BRUNO LIMA,Gaseiro 7k,2024,3,102.5,4.27,24,2580.9,312.98,0.0397,0.3275
CARLA SILVA,Aframax,2024,3,783.9,23.75,33,7736.0,590.02,0.1013,1.3286
DANIEL PEREIRA,Aframax,2024,3,709.7,21.51,33,6080.0,520.16,0.1167,1.3644
EDUARDO COSTA,MR 2,2024,3,236.58,7.89,30,3153.5,274.0,0.075,0.8634
FELIPE RIBEIRO,Suezmax,2024,3,1290.8,41.64,31,5795.5,683.57,0.2227,1.8883
FÁBIO SANTOS,Gaseiro 7k,2024,3,217.9,6.23,35,5229.0,443.02,0.0417,0.4919
GABRIELA MARTINS,Aframax,2024,3,294.0,26.73,11,2683.0,219.67,0.1096,1.3384
GISELLE CARVALHO,Suezmax,2024,3,666.0,27.75,24,4529.0,363.12,0.1471,1.8341
HENRIQUE ALVES,Suezmax,2024,3,903.0,36.12,25,5861.0,476.98,0.1541,1.8932
LUCAS MENDONÇA,MR 2,2024,3,79.75,5.32,15,834.6,100.5,0.0956,0.7935
MARCOS CAVALCANTI,Suezmax,2024,3,773.0,24.16,32,5170.0,706.8,0.1495,1.0937
MARIA VALENTINA,Gaseiro 7k,2024,3,126.89,3.97,32,3344.0,665.08,0.0379,0.1908
PAULO MOURA,Suezmax,2024,3,634.1,19.82,32,4459.0,394.13,0.1422,1.6089
RAFAEL SANTOS,Suezmax,2024,3,329.2,12.66,26,3262.0,262.15,0.1009,1.2558
RAUL MARTINS,Suezmax,2024,3,842.0,27.16,31,5477.1,540.1,0.1537,1.559
RENATO GOMES,Aframax,2024,3,618.0,24.72,25,4924.0,690.84,0.1255,0.8946
RICARDO BARBOSA,Gaseiro 7k,2024,3,170.24,6.55,26,5060.0,441.29,0.0336,0.3858
RODRIGO PINHEIRO,Aframax,2024,3,345.05,21.57,16,2941.0,243.6,0.1173,1.4165
ROMARIO SILVA,MR 2,2024,3,227.5,8.12,28,3109.0,237.0,0.0732,0.9599
THIAGO FERNANDES,MR 2,2024,3,214.5,8.58,25,3029.0,396.1,0.0708,0.5415
TOTAL_FROTA,TODAS,2024,3,10131.61,18.35,552,89170.6,8882.91,0.1136,1.1406
VICTOR OLIVEIRA,Suezmax,2024,3,567.0,31.5,18,3913.0,321.8,0.1449,1.762
BRUNO LIMA,Gaseiro 7k,2024,4,86.05,3.91,22,2249.0,214.17,0.0383,0.4018
CARLA SILVA,Aframax,2024,4,1042.0,37.21,28,7369.0,635.4,0.1414,1.6399
DANIEL PEREIRA,Aframax,2024,4,721.3,23.27,31,6799.0,578.5,0.1061,1.2468
EDUARDO COSTA,MR 2,2024,4,278.1,12.09,23,3132.8,255.55,0.0888,1.0882
FELIPE RIBEIRO,Suezmax,2024,4,993.48,28.39,35,4099.0,543.6,0.2424,1.8276
FÁBIO SANTOS,Gaseiro 7k,2024,4,125.53,4.48,28,3660.0,292.75,0.0343,0.4288
GABRIELA MARTINS,Aframax,2024,4,480.0,21.82,22,4734.0,349.89,0.1014,1.3719
GISELLE CARVALHO,Suezmax,2024,4,561.0,20.04,28,3938.5,364.26,0.1424,1.5401
HENRIQUE ALVES,Suezmax,2024,4,825.0,29.46,28,6319.0,497.62,0.1306,1.6579
LUCAS MENDONÇA,MR 2,2024,4,334.99,12.41,27,4259.5,331.6,0.0786,1.0102
MARCOS CAVALCANTI,Suezmax,2024,4,759.0,29.19,26,5994.0,495.9,0.1266,1.5306
MARIA VALENTINA,Gaseiro 7k,2024,4,126.05,4.2,30,4214.0,365.24,0.0299,0.3451
PAULO MOURA,Suezmax,2024,4,949.0,32.72,29,5650.0,532.69,0.168,1.7815
RAFAEL SANTOS,Suezmax,2024,4,138.0,19.71,7,1631.0,144.5,0.0846,0.955
RAUL MARTINS,Suezmax,2024,4,1189.0,45.73,26,7028.0,590.8,0.1692,2.0125
RENATO GOMES,Aframax,2024,4,834.0,28.76,29,6471.0,683.12,0.1289,1.2209
RICARDO BARBOSA,Gaseiro 7k,2024,4,129.35,4.17,31,3621.0,546.58,0.0357,0.2367
RODRIGO PINHEIRO,Aframax,2024,4,751.39,30.06,25,5686.0,500.63,0.1321,1.5009
ROMARIO SILVA,MR 2,2024,4,101.5,7.25,14,1197.0,104.9,0.0848,0.9676
THIAGO FERNANDES,MR 2,2024,4,171.45,6.86,25,2442.0,287.95,0.0702,0.5954
TOTAL_FROTA,TODAS,2024,4,11088.2,20.8,533,94724.8,8661.85,0.1171,1.2801
VICTOR OLIVEIRA,Suezmax,2024,4,492.0,25.89,19,4231.0,346.2,0.1163,1.4211
BRUNO LIMA,Gaseiro 7k,2024,5,111.7,3.99,28,2276.75,278.16,0.0491,0.4016
CARLA SILVA,Aframax,2024,5,173.9,7.9,22,1499.0,136.6,0.116,1.2731
DANIEL PEREIRA,Aframax,2024,5,678.8,20.57,33,6288.0,556.19,0.108,1.2204
EDUARDO COSTA,MR 2,2024,5,359.69,10.58,34,3896.9,322.19,0.0923,1.1164
FELIPE RIBEIRO,Suezmax,2024,5,349.23,20.54,17,2609.0,273.32,0.1339,1.2777
FÁBIO SANTOS,Gaseiro 7k,2024,5,140.87,4.27,33,4842.0,400.92,0.0291,0.3514
GABRIELA MARTINS,Aframax,2024,5,904.5,27.41,33,7122.0,642.4,0.127,1.408
GISELLE CARVALHO,Suezmax,2024,5,652.34,19.19,34,3953.5,352.92,0.165,1.8484
HENRIQUE ALVES,Suezmax,2024,5,1104.0,35.61,31,8420.0,662.25,0.1311,1.667
LUCAS MENDONÇA,MR 2,2024,5,152.49,6.1,25,2185.0,159.78,0.0698,0.9544
MARCOS CAVALCANTI,Suezmax,2024,5,904.5,33.5,27,5883.0,521.6,0.1537,1.7341
MARIA VALENTINA,Gaseiro 7k,2024,5,136.5,4.4,31,4185.0,330.18,0.0326,0.4134
PAULO MOURA,Suezmax,2024,5,629.82,29.99,21,4640.0,473.63,0.1357,1.3298
RAFAEL SANTOS,Suezmax,2024,5,1302.0,44.9,29,8266.0,653.3,0.1575,1.993
RAUL MARTINS,Suezmax,2024,5,818.0,25.56,32,5235.4,429.46,0.1562,1.9047
RENATO GOMES,Aframax,2024,5,593.2,22.82,26,6196.0,683.98,0.0957,0.8673
RICARDO BARBOSA,Gaseiro 7k,2024,5,154.7,5.16,30,4631.0,398.5,0.0334,0.3882
RODRIGO PINHEIRO,Aframax,2024,5,493.78,17.03,29,3703.7,431.22,0.1333,1.1451
ROMARIO SILVA,MR 2,2024,5,232.82,11.09,21,3019.6,236.86,0.0771,0.9829
THIAGO FERNANDES,MR 2,2024,5,307.48,13.98,22,3555.6,279.07,0.0865,1.1018
TOTAL_FROTA,TODAS,2024,5,11486.33,19.47,590,101400.45,8959.83,0.1133,1.282
VICTOR OLIVEIRA,Suezmax,2024,5,1286.0,40.19,32,8993.0,737.3,0.143,1.7442
BRUNO LIMA,Gaseiro 7k,2024,6,158.08,6.32,25,2897.5,306.93,0.0546,0.515
CARLA SILVA,Aframax,2024,6,156.6,6.81,23,1296.0,165.6,0.1208,0.9457
DANIEL PEREIRA,Aframax,2024,6,650.0,23.21,28,4182.0,466.62,0.1554,1.393
EDUARDO COSTA,MR 2,2024,6,385.72,14.84,26,3867.2,334.99,0.0997,1.1514
FELIPE RIBEIRO,Suezmax,2024,6,267.0,29.67,9,2274.0,163.97,0.1174,1.6283
FÁBIO SANTOS,Gaseiro 7k,2024,6,130.56,4.21,31,3802.0,323.43,0.0343,0.4037
GABRIELA MARTINS,Aframax,2024,6,351.0,21.94,16,2924.0,386.17,0.12,0.9089
GISELLE CARVALHO,Suezmax,2024,6,1369.0,48.89,28,7989.0,620.75,0.1714,2.2054
HENRIQUE ALVES,Suezmax,2024,6,324.0,11.57,28,2878.0,493.7,0.1126,0.6563
LUCAS MENDONÇA,MR 2,2024,6,344.0,10.75,32,4422.5,357.3,0.0778,0.9628
MARCOS CAVALCANTI,Suezmax,2024,6,1072.5,36.98,29,7581.0,592.58,0.1415,1.8099
MARIA VALENTINA,Gaseiro 7k,2024,6,83.06,3.46,24,2531.0,207.15,0.0328,0.401
PAULO MOURA,Suezmax,2024,6,1349.0,44.97,30,8197.0,693.5,0.1646,1.9452
RAFAEL SANTOS,Suezmax,2024,6,758.5,29.17,26,4872.0,441.13,0.1557,1.7194
RAUL MARTINS,Suezmax,2024,6,877.36,28.3,31,5090.4,447.08,0.1724,1.9624
RENATO GOMES,Aframax,2024,6,776.5,29.87,26,6612.0,650.77,0.1174,1.1932
RICARDO BARBOSA,Gaseiro 7k,2024,6,147.2,5.45,27,4898.0,425.42,0.0301,0.346
RODRIGO PINHEIRO,Aframax,2024,6,887.9,29.6,30,5968.5,551.6,0.1488,1.6097
ROMARIO SILVA,MR 2,2024,6,296.14,13.46,22,4016.2,306.18,0.0737,0.9672
THIAGO FERNANDES,MR 2,2024,6,199.61,10.51,19,2212.0,182.84,0.0902,1.0917
TOTAL_FROTA,TODAS,2024,6,11379.14,20.99,542,94378.3,8598.78,0.1206,1.3233
VICTOR OLIVEIRA,Suezmax,2024,6,795.4,24.86,32,5868.0,481.07,0.1355,1.6534
BRUNO LIMA,Gaseiro 7k,2024,7,103.55,4.93,21,2489.0,306.42,0.0416,0.3379
CARLA SILVA,Aframax,2024,7,95.6,8.69,11,745.0,73.2,0.1283,1.306
DANIEL PEREIRA,Aframax,2024,7,1171.0,37.77,31,8614.0,717.75,0.1359,1.6315
EDUARDO COSTA,MR 2,2024,7,144.74,6.89,21,1865.6,155.33,0.0776,0.9318
FELIPE RIBEIRO,Suezmax,2024,7,896.26,37.34,24,5768.0,455.47,0.1554,1.9678
FÁBIO SANTOS,Gaseiro 7k,2024,7,161.19,5.37,30,3761.3,340.0,0.0429,0.4741
GABRIELA MARTINS,Aframax,2024,7,842.0,28.07,30,7370.0,581.45,0.1142,1.4481
GISELLE CARVALHO,Suezmax,2024,7,222.2,37.03,6,1114.0,119.92,0.1995,1.8529
HENRIQUE ALVES,Suezmax,2024,7,825.0,30.56,27,5733.0,454.96,0.1439,1.8133
LUCAS MENDONÇA,MR 2,2024,7,182.0,10.71,17,2174.0,175.7,0.0837,1.0359
MARCOS CAVALCANTI,Suezmax,2024,7,1161.74,36.3,32,7252.0,607.6,0.1602,1.912
MARIA VALENTINA,Gaseiro 7k,2024,7,131.92,4.12,32,3837.0,682.24,0.0344,0.1934
PAULO MOURA,Suezmax,2024,7,773.43,33.63,23,4576.0,518.61,0.169,1.4914
