shipName,Classe,ano,mes,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
LUCAS MENDONÇA,MR 2,2023,5,0.1152,1.0396,0.3764,10.1561,383.1,4418.0,359.87
MARCOS CAVALCANTI,Suezmax,2023,5,0.4342,1.1698,0.1594,7.3112,375.5,2879.0,345.66
MARIA VALENTINA,Gaseiro 7k,2023,5,0.0632,0.4722,0.6027,19.706,100.245,2531.0,221.62
PAULO MOURA,Suezmax,2023,5,0.1684,1.4727,0.201,6.3431,650.0,4084.0,355.98
RAFAEL SANTOS,Suezmax,2023,5,0.2262,2.3754,0.2261,5.9097,841.0,5610.0,454.67
RAUL MARTINS,Suezmax,2023,5,0.1795,1.7018,0.264,6.2933,838.4,5456.4,471.2
RENATO GOMES,Aframax,2023,5,0.1138,1.2702,0.2216,11.6136,922.0,8031.0,666.2
RICARDO BARBOSA,Gaseiro 7k,2023,5,0.038,0.3865,0.4183,26.955,102.23,2809.0,230.77
RODRIGO PINHEIRO,Aframax,2023,5,0.0987,1.0983,0.259,15.7257,797.2,7463.0,614.14
ROMARIO SILVA,MR 2,2023,5,0.1583,0.45,0.0487,9.5,2.5,32.0,6.0
THIAGO FERNANDES,MR 2,2023,5,0.1399,1.3069,0.1692,10.8489,171.09,2233.0,161.53
TOTAL_FROTA,TODAS,2023,5,0.1594,1.377,0.3011,12.6661,10352.265,85818.9,7202.11
VICTOR OLIVEIRA,Suezmax,2023,5,0.339,2.6077,0.5808,5.7638,617.0,3484.0,291.93
BRUNO LIMA,Gaseiro 7k,2023,6,0.0539,0.3821,0.4873,22.487,92.6,2567.19,220.26
CARLA SILVA,Aframax,2023,6,0.1646,1.5095,0.0305,6.8619,22.4,198.0,17.7
DANIEL PEREIRA,Aframax,2023,6,0.1928,1.6918,0.2034,6.8917,704.0,5026.0,430.23
EDUARDO COSTA,MR 2,2023,6,0.177,0.8858,0.2609,9.7324,287.07,3533.0,294.75
FELIPE RIBEIRO,Suezmax,2023,6,0.2307,2.2821,0.2999,4.7303,981.62,5160.0,448.7
FÁBIO SANTOS,Gaseiro 7k,2023,6,0.0422,0.4474,0.4931,26.9727,117.16,3165.0,269.15
GABRIELA MARTINS,Aframax,2023,6,0.1255,1.3922,0.2468,10.4715,828.46,6193.0,541.35
GISELLE CARVALHO,Suezmax,2023,6,0.1947,1.8857,0.2674,6.2455,1083.8,7414.0,575.58
HENRIQUE ALVES,Suezmax,2023,6,1.6024,1.9477,0.2488,4.9367,671.0,4417.3,356.6
LUCAS MENDONÇA,MR 2,2023,6,0.1297,1.1631,0.4332,9.2984,462.248,4309.0,359.83
MARCOS CAVALCANTI,Suezmax,2023,6,0.2928,1.5079,0.2081,6.0231,619.0,4202.0,405.0
MARIA VALENTINA,Gaseiro 7k,2023,6,0.0414,0.3454,0.213,25.9328,15.07,419.0,39.08
PAULO MOURA,Suezmax,2023,6,0.2913,2.3471,0.1774,10.3034,573.5,4307.1,352.2
RAFAEL SANTOS,Suezmax,2023,6,0.3176,2.2022,0.2321,6.1786,870.5,6340.0,488.9
RAUL MARTINS,Suezmax,2023,6,0.2508,2.0338,0.2672,4.9594,1181.75,6415.1,597.0
RENATO GOMES,Aframax,2023,6,0.1356,1.5006,0.3158,8.0615,383.59,3329.0,265.2
RICARDO BARBOSA,Gaseiro 7k,2023,6,0.0506,0.5009,0.7876,21.7352,189.51,4352.0,376.43
RODRIGO PINHEIRO,Aframax,2023,6,0.1424,1.4607,0.3231,7.1992,707.91,4886.0,417.6
ROMARIO SILVA,MR 2,2023,6,0.1067,0.9288,0.1735,11.1993,117.5,1538.0,122.09
THIAGO FERNANDES,MR 2,2023,6,0.1259,1.0701,0.4008,9.781,403.18,5043.0,371.49
TOTAL_FROTA,TODAS,2023,6,0.2558,1.4623,0.3185,10.2318,10311.868,82813.69,6949.14
BRUNO LIMA,Gaseiro 7k,2023,7,0.0478,0.3815,0.5039,27.6163,160.9,5145.0,400.91
CARLA SILVA,Aframax,2023,7,0.1756,1.3517,0.1693,6.7832,243.4,2061.0,182.1
DANIEL PEREIRA,Aframax,2023,7,0.1324,1.36,0.2335,10.9577,1017.75,7170.0,651.76
EDUARDO COSTA,MR 2,2023,7,0.1035,0.8656,0.2461,13.2932,136.1,1871.0,163.67
FELIPE RIBEIRO,Suezmax,2023,7,0.2969,2.0221,0.2281,3.9858,448.2,2230.0,220.3
FÁBIO SANTOS,Gaseiro 7k,2023,7,0.0389,0.3657,0.5908,29.0913,138.4,3606.0,317.03
GABRIELA MARTINS,Aframax,2023,7,0.3184,2.8149,0.4214,9.0855,746.86,5757.0,484.5
GISELLE CARVALHO,Suezmax,2023,7,0.2108,1.588,0.2374,6.223,817.3,5077.1,524.22
HENRIQUE ALVES,Suezmax,2023,7,0.245,1.8502,0.2602,6.2511,1230.0,8050.0,644.15
LUCAS MENDONÇA,MR 2,2023,7,0.1403,0.9823,0.4306,10.3553,412.2,4800.5,400.47
MARCOS CAVALCANTI,Suezmax,2023,7,0.2519,1.7514,0.1115,5.8715,303.3,2129.4,188.7
MARIA VALENTINA,Gaseiro 7k,2023,7,0.0417,0.3818,0.5424,27.3657,149.1,4410.0,377.75
PAULO MOURA,Suezmax,2023,7,0.2414,1.6612,0.1435,6.8626,687.63,4492.0,382.59
RAFAEL SANTOS,Suezmax,2023,7,0.2815,2.4662,0.1874,6.7423,474.27,3442.5,265.5
RAUL MARTINS,Suezmax,2023,7,0.2585,2.2185,0.2446,4.9139,1133.87,6099.0,537.3
RENATO GOMES,Aframax,2023,7,0.1273,1.4109,0.2658,9.5675,659.78,5846.0,478.4
RICARDO BARBOSA,Gaseiro 7k,2023,7,0.0513,0.4118,0.6299,22.1455,114.8,2929.0,273.74
RODRIGO PINHEIRO,Aframax,2023,7,0.1462,1.5055,0.2394,7.4407,801.55,6018.0,495.53
ROMARIO SILVA,MR 2,2023,7,0.113,0.8464,0.1503,11.5795,110.0,1434.5,124.26
THIAGO FERNANDES,MR 2,2023,7,0.1474,1.4376,0.297,9.5153,327.6,3705.0,294.83
TOTAL_FROTA,TODAS,2023,7,0.1625,1.3677,0.3273,12.345,10951.75,93364.5,7933.51
VICTOR OLIVEIRA,Suezmax,2023,7,0.1201,1.6328,0.4296,8.6131,838.74,7091.5,525.8
BRUNO LIMA,Gaseiro 7k,2023,8,0.0317,0.3718,0.7376,33.1693,91.18,3088.0,235.25
CARLA SILVA,Aframax,2023,8,0.1801,1.2622,0.1336,8.2822,233.2,2229.0,208.97
DANIEL PEREIRA,Aframax,2023,8,0.7733,3.2672,0.1529,11.7319,177.0,2403.0,235.38
EDUARDO COSTA,MR 2,2023,8,0.1135,0.8955,0.2963,11.1768,313.489,3509.0,298.7
FELIPE RIBEIRO,Suezmax,2023,8,0.2729,1.8125,0.1406,4.2379,372.12,1927.0,197.87
FÁBIO SANTOS,Gaseiro 7k,2023,8,0.0389,0.3397,0.4308,42.8734,111.19,3529.0,294.26
GABRIELA MARTINS,Aframax,2023,8,0.1267,1.3896,0.2407,10.2904,1050.54,7820.0,674.7
GISELLE CARVALHO,Suezmax,2023,8,0.2833,1.7768,0.2106,5.0817,642.5,3865.6,336.63
HENRIQUE ALVES,Suezmax,2023,8,0.2146,2.2358,0.1706,7.8183,797.0,5323.5,441.1
LUCAS MENDONÇA,MR 2,2023,8,0.1024,0.7842,0.1568,13.463,178.92,2766.0,252.8
MARCOS CAVALCANTI,Suezmax,2023,8,0.2017,1.4678,0.2274,7.802,1093.04,8152.0,725.83
MARIA VALENTINA,Gaseiro 7k,2023,8,0.055,0.4703,0.5862,23.2368,137.85,3869.0,304.06
PAULO MOURA,Suezmax,2023,8,0.2713,1.5079,0.2402,6.3334,673.95,4470.4,374.45
RAFAEL SANTOS,Suezmax,2023,8,0.1435,1.4022,0.2201,9.1117,585.0,5062.0,376.4
RAUL MARTINS,Suezmax,2023,8,0.1671,1.92,0.3494,6.318,858.0,5391.0,428.56
RENATO GOMES,Aframax,2023,8,0.1188,1.3321,0.2264,14.4279,288.93,2483.0,217.25
RICARDO BARBOSA,Gaseiro 7k,2023,8,0.0387,0.3683,0.6344,30.9109,153.867,4543.0,440.93
RODRIGO PINHEIRO,Aframax,2023,8,0.1186,1.2872,0.2764,9.4726,814.25,7203.0,565.3
ROMARIO SILVA,MR 2,2023,8,0.1104,0.9433,0.2922,13.8963,306.55,3776.5,307.74
THIAGO FERNANDES,MR 2,2023,8,0.0836,0.8127,0.346,16.8007,297.33,4893.0,421.91
TOTAL_FROTA,TODAS,2023,8,0.1697,1.3129,0.2915,13.4102,10340.906,94045.0,7958.99
VICTOR OLIVEIRA,Suezmax,2023,8,0.1588,1.8931,0.2512,6.663,1165.0,7742.0,620.9
BRUNO LIMA,Gaseiro 7k,2023,9,0.0352,0.3842,0.9884,30.9594,115.6,3459.5,275.66
CARLA SILVA,Aframax,2023,9,0.1856,1.6148,0.2204,5.9771,539.5,3024.0,306.97
DANIEL PEREIRA,Aframax,2023,9,0.1199,1.4044,0.4435,12.6731,425.5,4311.0,353.52
EDUARDO COSTA,MR 2,2023,9,0.1372,1.1224,0.4496,10.3426,322.11,3640.0,289.1
FELIPE RIBEIRO,Suezmax,2023,9,0.2698,1.5405,0.0605,13.6881,114.95,638.0,66.18
FÁBIO SANTOS,Gaseiro 7k,2023,9,0.0377,0.3236,0.3856,53.6948,81.37,2704.8,231.51
GABRIELA MARTINS,Aframax,2023,9,0.1378,1.4154,0.2537,10.3528,484.55,3632.0,304.18
GISELLE CARVALHO,Suezmax,2023,9,0.2001,2.007,0.268,5.8098,998.36,5814.0,471.57
HENRIQUE ALVES,Suezmax,2023,9,0.1447,1.4431,0.3002,12.9641,586.0,4555.0,380.74
LUCAS MENDONÇA,MR 2,2023,9,0.089,0.8106,0.1916,18.8729,243.93,3514.0,275.47
MARCOS CAVALCANTI,Suezmax,2023,9,0.2268,1.7914,0.0536,5.886,34.57,192.0,22.14
MARIA VALENTINA,Gaseiro 7k,2023,9,0.0388,0.4662,0.8251,26.8035,155.63,4494.0,353.09
PAULO MOURA,Suezmax,2023,9,0.1585,1.317,0.1658,7.8043,605.5,4215.0,384.34
RAFAEL SANTOS,Suezmax,2023,9,0.1139,1.1519,0.3216,12.1077,332.1,2830.0,259.2
RAUL MARTINS,Suezmax,2023,9,0.171,1.9336,0.3424,6.102,746.0,4587.0,375.33
RENATO GOMES,Aframax,2023,9,0.1966,1.5149,0.284,8.2337,636.0,4560.0,395.89
RICARDO BARBOSA,Gaseiro 7k,2023,9,0.0399,0.4291,0.8242,25.4749,156.75,4060.0,352.66
RODRIGO PINHEIRO,Aframax,2023,9,0.1178,1.3508,0.285,8.7846,808.29,7047.0,576.6
ROMARIO SILVA,MR 2,2023,9,0.0734,0.6763,0.1467,18.8255,179.47,2575.0,208.09
THIAGO FERNANDES,MR 2,2023,9,0.0906,1.1023,0.2562,11.3564,241.84,2929.0,217.73
TOTAL_FROTA,TODAS,2023,9,0.1356,1.244,0.3426,15.6469,8420.11,77083.3,6428.47
VICTOR OLIVEIRA,Suezmax,2023,9,0.4586,3.5513,0.2923,7.396,612.09,4302.0,328.5
BRUNO LIMA,Gaseiro 7k,2023,10,0.0527,0.3637,0.4317,23.6744,52.95,1556.0,131.09
CARLA SILVA,Aframax,2023,10,0.1812,1.6558,0.2841,5.7352,1200.3,6611.0,694.59
DANIEL PEREIRA,Aframax,2023,10,0.1739,1.7898,0.3039,7.5418,1116.0,8761.0,694.13
EDUARDO COSTA,MR 2,2023,10,0.1349,1.1501,0.2681,8.5336,273.43,2710.0,244.37
FELIPE RIBEIRO,Suezmax,2023,10,0.2515,1.2472,0.0473,4.6929,89.06,452.0,125.35
FÁBIO SANTOS,Gaseiro 7k,2023,10,0.0532,0.388,0.2243,37.9254,35.84,1255.0,102.5
GABRIELA MARTINS,Aframax,2023,10,0.1298,1.4652,0.3461,8.5515,933.23,7605.0,604.8
GISELLE CARVALHO,Suezmax,2023,10,0.191,2.3509,0.4462,6.1617,886.0,5423.0,425.92
HENRIQUE ALVES,Suezmax,2023,10,0.2136,2.3977,0.1769,8.6936,565.0,4703.0,398.29
LUCAS MENDONÇA,MR 2,2023,10,0.1757,0.9435,0.3919,8.1161,204.78,2140.0,249.4
MARCOS CAVALCANTI,Suezmax,2023,10,0.1324,1.4064,0.3896,8.6975,951.51,8031.5,688.6
MARIA VALENTINA,Gaseiro 7k,2023,10,0.0454,0.3616,0.515,30.5313,62.605,2105.0,159.92
PAULO MOURA,Suezmax,2023,10,0.1659,1.7376,0.3301,7.3232,971.9,7215.0,566.63
RAFAEL SANTOS,Suezmax,2023,10,0.5451,3.8392,0.2434,5.003,607.0,3472.2,276.1
RAUL MARTINS,Suezmax,2023,10,0.2184,1.7803,0.266,5.4486,853.0,5279.0,500.22
RENATO GOMES,Aframax,2023,10,0.1401,1.5366,0.267,7.3494,1065.4,7565.0,663.6
RICARDO BARBOSA,Gaseiro 7k,2023,10,0.0507,0.5133,0.7251,20.7654,159.05,3484.0,310.74
RODRIGO PINHEIRO,Aframax,2023,10,0.137,1.4637,0.2425,8.3453,872.11,6830.0,561.9
ROMARIO SILVA,MR 2,2023,10,0.2333,0.9353,0.0184,4.3333,2.5,11.0,2.67
THIAGO FERNANDES,MR 2,2023,10,0.0897,1.0184,0.3611,17.6584,329.9,4578.0,332.75
TOTAL_FROTA,TODAS,2023,10,0.1774,1.5948,0.3152,10.9067,11738.055,93372.7,8038.72
VICTOR OLIVEIRA,Suezmax,2023,10,0.4194,2.9426,0.1995,7.186,506.49,3586.0,305.15
BRUNO LIMA,Gaseiro 7k,2023,11,0.051,0.3534,0.4414,28.3972,146.917,4342.68,352.42
CARLA SILVA,Aframax,2023,11,0.1488,1.2486,0.1873,7.9041,382.5,3162.0,343.3
DANIEL PEREIRA,Aframax,2023,11,0.2751,2.1291,0.1849,8.379,297.0,2101.0,183.15
EDUARDO COSTA,MR 2,2023,11,0.1202,0.9614,0.2613,11.5893,202.38,1780.0,185.32
FELIPE RIBEIRO,Suezmax,2023,11,3.3062,1.7665,0.0998,3.6307,160.7,611.0,81.2
FÁBIO SANTOS,Gaseiro 7k,2023,11,0.082,0.5054,0.5458,17.0407,97.4,2392.0,200.59
GABRIELA MARTINS,Aframax,2023,11,0.113,1.1782,0.23,10.4516,592.7,5257.0,450.25
GISELLE CARVALHO,Suezmax,2023,11,0.1649,1.9876,0.2312,6.9396,1199.0,7025.0,572.0
HENRIQUE ALVES,Suezmax,2023,11,0.1944,1.6295,0.2005,6.3736,858.0,5873.0,511.94
LUCAS MENDONÇA,MR 2,2023,11,0.1286,0.8913,0.2733,9.0765,50.0,592.0,54.3
MARCOS CAVALCANTI,Suezmax,2023,11,0.2336,1.4038,0.2048,6.5441,567.24,4273.0,397.07
MARIA VALENTINA,Gaseiro 7k,2023,11,0.0348,0.366,0.522,30.9289,117.7,4001.0,318.58
PAULO MOURA,Suezmax,2023,11,0.1622,1.6376,0.1085,8.4637,263.94,2036.0,170.97
RAFAEL SANTOS,Suezmax,2023,11,0.3037,1.7385,0.1241,7.1272,391.0,3246.0,267.67
RAUL MARTINS,Suezmax,2023,11,0.212,1.8616,0.2307,5.5459,814.15,4888.8,415.93
RENATO GOMES,Aframax,2023,11,0.1713,1.3576,0.1239,6.9934,325.8,2385.92,218.29
RICARDO BARBOSA,Gaseiro 7k,2023,11,0.0569,0.4159,0.4765,21.5015,137.393,3453.0,322.42
RODRIGO PINHEIRO,Aframax,2023,11,0.2614,1.5592,0.1374,11.8381,346.86,2839.0,239.57
ROMARIO SILVA,MR 2,2023,11,0.0963,0.8386,0.3076,18.515,264.89,4103.3,308.52
THIAGO FERNANDES,MR 2,2023,11,0.0898,1.0639,0.3326,11.388,265.7,3203.0,247.67
TOTAL_FROTA,TODAS,2023,11,0.2322,1.2824,0.2646,12.4589,8328.77,73900.7,6370.79
VICTOR OLIVEIRA,Suezmax,2023,11,0.224,2.2161,0.1653,8.3908,847.5,6336.0,529.63
BRUNO LIMA,Gaseiro 7k,2023,12,0.0444,0.4098,0.5567,28.9369,82.45,2605.0,206.26
CARLA SILVA,Aframax,2023,12,0.1764,1.2576,0.0247,5.6825,3.9,22.0,3.1
DANIEL PEREIRA,Aframax,2023,12,0.1245,1.438,0.2321,8.5235,656.5,5518.0,433.41
EDUARDO COSTA,MR 2,2023,12,0.1192,1.1226,0.5057,13.1161,281.3,3025.5,241.9
FELIPE RIBEIRO,Suezmax,2023,12,0.3819,1.6738,0.0751,3.4089,206.1,847.0,114.4
FÁBIO SANTOS,Gaseiro 7k,2023,12,0.0418,0.3716,0.4089,44.2467,102.54,3041.0,254.13
GABRIELA MARTINS,Aframax,2023,12,0.121,1.2789,0.3519,8.9416,779.95,6320.0,562.15
GISELLE CARVALHO,Suezmax,2023,12,0.2866,3.0612,0.2807,7.2733,837.0,4877.0,392.83
HENRIQUE ALVES,Suezmax,2023,12,0.1613,1.65,0.0776,11.6454,115.0,960.0,76.15
MARCOS CAVALCANTI,Suezmax,2023,12,0.3943,1.497,0.1277,5.5131,484.9,3159.0,301.88
MARIA VALENTINA,Gaseiro 7k,2023,12,0.0441,0.3636,0.4942,27.9859,119.309,3978.0,322.83
PAULO MOURA,Suezmax,2023,12,0.1361,1.5247,0.202,9.5524,967.24,6621.0,555.73
RAFAEL SANTOS,Suezmax,2023,12,0.1806,1.4739,0.1975,7.6232,605.0,4868.5,369.9
RAUL MARTINS,Suezmax,2023,12,0.3529,1.5457,0.1106,4.2358,226.23,1323.8,164.43
RICARDO BARBOSA,Gaseiro 7k,2023,12,0.0431,0.3312,0.4543,29.283,121.307,4182.0,375.56
RODRIGO PINHEIRO,Aframax,2023,12,0.1234,1.3259,0.2418,9.3685,778.05,7248.0,575.13
ROMARIO SILVA,MR 2,2023,12,0.116,0.7919,0.1919,13.4887,232.81,2913.9,292.7
THIAGO FERNANDES,MR 2,2023,12,0.1012,1.0636,0.3761,10.4942,266.0,3199.0,256.37
TOTAL_FROTA,TODAS,2023,12,0.1562,1.2263,0.2874,14.5043,7579.586,70952.7,6002.41
VICTOR OLIVEIRA,Suezmax,2023,12,0.1962,1.7685,0.3235,7.8224,714.0,6244.0,503.55
DANIEL PEREIRA,Aframax,2024,1,0.1871,1.5432,0.2177,6.2783,487.5,3308.0,299.94
EDUARDO COSTA,MR 2,2024,1,0.2256,0.9886,0.4221,8.4122,403.5,4486.7,381.67
FELIPE RIBEIRO,Suezmax,2024,1,0.337,1.4915,0.0653,4.2442,64.42,355.0,43.05
FÁBIO SANTOS,Gaseiro 7k,2024,1,0.0413,0.3516,0.4913,27.7228,130.86,4166.4,335.38
GABRIELA MARTINS,Aframax,2024,1,0.1321,1.3276,0.2183,8.273,742.5,5803.0,512.53
GISELLE CARVALHO,Suezmax,2024,1,0.1867,2.4609,0.6768,5.787,1595.0,8878.0,663.25
HENRIQUE ALVES,Suezmax,2024,1,0.1796,1.8939,0.2884,7.0827,894.0,6615.0,519.9
MARCOS CAVALCANTI,Suezmax,2024,1,0.17,1.6668,0.33,7.1468,925.6,6748.0,539.4
MARIA VALENTINA,Gaseiro 7k,2024,1,0.0554,0.4556,0.6613,24.8814,154.645,4692.0,361.49
PAULO MOURA,Suezmax,2024,1,0.1931,1.7901,0.1812,12.1323,915.5,6814.0,504.83
RAFAEL SANTOS,Suezmax,2024,1,0.2721,1.3239,0.1342,9.9872,223.0,2010.0,161.26
RAUL MARTINS,Suezmax,2024,1,0.3073,1.9522,0.3371,4.7199,666.05,3788.2,320.52
RENATO GOMES,Aframax,2024,1,0.0718,0.928,0.3437,32.226,309.0,4396.0,340.5
RICARDO BARBOSA,Gaseiro 7k,2024,1,0.0353,0.3856,0.4941,33.7816,117.07,4338.0,359.58
RODRIGO PINHEIRO,Aframax,2024,1,0.1828,1.5855,0.2384,7.8765,752.5,5499.0,463.25
ROMARIO SILVA,MR 2,2024,1,0.2131,2.1169,0.3145,12.5515,414.86,5088.5,381.2
THIAGO FERNANDES,MR 2,2024,1,0.1579,1.1354,0.2272,9.1912,188.13,2259.0,164.87
TOTAL_FROTA,TODAS,2024,1,0.1666,1.4269,0.3499,12.8488,9840.135,85694.8,6832.32
VICTOR OLIVEIRA,Suezmax,2024,1,0.1738,1.8534,0.3206,7.236,856.0,6450.0,479.7
BRUNO LIMA,Gaseiro 7k,2024,2,0.0516,0.329,0.6801,24.5373,78.5,1635.1,219.75
CARLA SILVA,Aframax,2024,2,0.1462,1.1811,0.2821,7.3664,81.0,674.0,63.8
DANIEL PEREIRA,Aframax,2024,2,0.1718,1.6289,0.2761,7.1573,430.0,3386.0,267.83
EDUARDO COSTA,MR 2,2024,2,0.2402,0.8608,0.1872,9.281,253.84,2634.2,259.03
FELIPE RIBEIRO,Suezmax,2024,2,0.8373,1.4404,0.2175,3.3743,203.99,393.0,140.03
FÁBIO SANTOS,Gaseiro 7k,2024,2,0.0415,0.3746,0.5269,28.3032,122.929,3713.0,297.73
GABRIELA MARTINS,Aframax,2024,2,0.1417,1.5229,0.2791,7.313,746.7,5520.0,477.1
GISELLE CARVALHO,Suezmax,2024,2,0.1907,1.9109,0.2277,6.7269,834.0,5014.3,394.41
HENRIQUE ALVES,Suezmax,2024,2,0.2192,1.8693,0.3167,8.7955,501.0,3813.0,285.8
LUCAS MENDONÇA,MR 2,2024,2,0.373,1.1745,0.1009,6.4102,37.95,359.7,33.9
MARCOS CAVALCANTI,Suezmax,2024,2,0.2295,1.5497,0.1492,8.238,409.6,3389.5,288.6
MARIA VALENTINA,Gaseiro 7k,2024,2,0.0496,0.4715,0.6573,23.8767,141.36,3984.0,318.83
PAULO MOURA,Suezmax,2024,2,0.4421,1.6612,0.162,11.0029,512.9,3624.6,350.7
RAFAEL SANTOS,Suezmax,2024,2,0.1613,1.8984,0.2637,6.2519,1321.3,8199.0,696.0
RAUL MARTINS,Suezmax,2024,2,0.2361,1.7832,0.1719,6.1067,1007.0,5559.0,618.93
RENATO GOMES,Aframax,2024,2,0.1621,1.7586,0.2781,9.4215,838.0,7911.0,633.0
RICARDO BARBOSA,Gaseiro 7k,2024,2,0.0362,0.376,0.5314,28.8504,100.526,3112.0,259.18
RODRIGO PINHEIRO,Aframax,2024,2,0.0991,1.0709,0.1455,14.6367,339.55,3138.0,271.09
ROMARIO SILVA,MR 2,2024,2,0.088,0.7302,0.0973,16.2886,111.67,1779.5,131.17
THIAGO FERNANDES,MR 2,2024,2,0.2626,0.8837,0.2144,8.6599,199.43,1990.0,267.58
TOTAL_FROTA,TODAS,2024,2,0.1921,1.2502,0.2791,12.1724,8995.745,75940.9,6785.66
VICTOR OLIVEIRA,Suezmax,2024,2,0.1243,1.4145,0.2364,9.1944,724.5,6112.0,511.2
BRUNO LIMA,Gaseiro 7k,2024,3,0.0599,0.3284,0.5048,25.4533,98.0,2580.9,252.06
CARLA SILVA,Aframax,2024,3,0.1273,1.4119,0.3291,9.4745,783.9,7736.0,590.02
DANIEL PEREIRA,Aframax,2024,3,0.1282,1.2476,0.18,10.0702,709.7,6080.0,520.16
EDUARDO COSTA,MR 2,2024,3,0.1002,0.7803,0.2248,12.4162,236.581,3153.5,274.0
FELIPE RIBEIRO,Suezmax,2024,3,0.2244,1.8597,0.2287,4.5121,1290.8,5795.5,683.57
FÁBIO SANTOS,Gaseiro 7k,2024,3,0.0506,0.5004,0.7568,22.0649,217.9,5229.0,443.02
GABRIELA MARTINS,Aframax,2024,3,0.1257,1.2967,0.4275,8.5258,294.0,2683.0,219.67
GISELLE CARVALHO,Suezmax,2024,3,0.1924,2.1569,0.3275,6.247,666.0,4529.0,363.12
HENRIQUE ALVES,Suezmax,2024,3,0.4381,4.5071,0.2186,6.1942,903.0,5861.0,476.98
LUCAS MENDONÇA,MR 2,2024,3,0.22,1.053,0.1373,9.3864,78.75,834.6,77.8
MARCOS CAVALCANTI,Suezmax,2024,3,0.1786,1.1107,0.1834,6.4217,773.0,5170.0,706.8
MARIA VALENTINA,Gaseiro 7k,2024,3,0.0513,0.4737,0.5809,22.536,124.1,3344.0,273.75
PAULO MOURA,Suezmax,2024,3,0.4385,1.9682,0.185,6.5291,627.1,4459.0,368.71
RAFAEL SANTOS,Suezmax,2024,3,0.0975,1.0464,0.1261,13.7851,329.2,3262.0,262.15
RAUL MARTINS,Suezmax,2024,3,0.16,1.606,0.3438,8.7233,842.0,5477.1,540.1
RENATO GOMES,Aframax,2024,3,0.1159,1.3567,0.2302,12.5655,558.0,4924.0,412.9
RICARDO BARBOSA,Gaseiro 7k,2024,3,0.0448,0.359,0.7549,26.0703,170.24,5060.0,441.29
RODRIGO PINHEIRO,Aframax,2024,3,0.1468,1.4813,0.1781,8.4435,345.05,2941.0,243.6
ROMARIO SILVA,MR 2,2024,3,0.1031,0.8964,0.2443,11.3697,227.5,3109.0,237.0
THIAGO FERNANDES,MR 2,2024,3,0.0646,0.6017,0.1847,20.6611,214.5,3029.0,396.1
TOTAL_FROTA,TODAS,2024,3,0.153,1.3085,0.3188,12.4756,10051.321,89170.6,8091.8
VICTOR OLIVEIRA,Suezmax,2024,3,0.1339,1.7059,0.1985,8.0475,562.0,3913.0,309.0
BRUNO LIMA,Gaseiro 7k,2024,4,0.0615,0.3552,0.4978,29.0165,86.05,2249.0,214.17
CARLA SILVA,Aframax,2024,4,0.1503,1.5951,0.2995,7.6437,1042.0,7369.0,635.4
DANIEL PEREIRA,Aframax,2024,4,0.0966,1.1351,0.2633,11.5984,720.3,6799.0,545.58
EDUARDO COSTA,MR 2,2024,4,0.1734,1.0693,0.325,8.1913,278.1,3132.8,255.55
FELIPE RIBEIRO,Suezmax,2024,4,0.2605,1.7121,0.1617,4.0301,993.48,4099.0,543.6
FÁBIO SANTOS,Gaseiro 7k,2024,4,0.0387,0.4156,0.527,28.4549,125.53,3660.0,292.75
GABRIELA MARTINS,Aframax,2024,4,0.1257,1.4217,0.3677,9.2827,480.0,4734.0,349.89
GISELLE CARVALHO,Suezmax,2024,4,0.2746,1.4478,0.2238,7.764,561.0,3938.5,364.26
HENRIQUE ALVES,Suezmax,2024,4,0.2369,2.3094,0.2429,7.3344,825.0,6319.0,497.62
LUCAS MENDONÇA,MR 2,2024,4,0.1202,1.0063,0.3348,12.0498,334.99,4259.5,331.6
MARCOS CAVALCANTI,Suezmax,2024,4,0.1347,1.4354,0.2343,8.0222,759.0,5994.0,495.9
MARIA VALENTINA,Gaseiro 7k,2024,4,0.046,0.3934,0.4726,27.3539,126.05,4214.0,365.24
PAULO MOURA,Suezmax,2024,4,0.2498,1.8335,0.2336,5.3074,944.0,5650.0,522.36
RAFAEL SANTOS,Suezmax,2024,4,0.0817,0.8938,0.2407,12.8879,138.0,1631.0,144.5
RAUL MARTINS,Suezmax,2024,4,0.1748,2.0202,0.2508,5.8231,1189.0,7028.0,590.8
RENATO GOMES,Aframax,2024,4,0.1566,1.592,0.2518,7.8842,806.0,6471.0,553.8
RICARDO BARBOSA,Gaseiro 7k,2024,4,0.0587,0.4123,0.5163,22.6325,123.603,3621.0,311.82
RODRIGO PINHEIRO,Aframax,2024,4,0.1756,1.5499,0.2573,10.9897,751.39,5686.0,500.63
ROMARIO SILVA,MR 2,2024,4,0.2536,0.9373,0.1762,8.2842,101.505,1197.0,104.9
THIAGO FERNANDES,MR 2,2024,4,0.0918,0.8646,0.2292,22.6884,171.45,2442.0,287.95
TOTAL_FROTA,TODAS,2024,4,0.1488,1.2556,0.3097,12.7293,11035.448,94724.8,8218.42
VICTOR OLIVEIRA,Suezmax,2024,4,0.107,1.4433,0.3497,9.5733,479.0,4231.0,310.1
BRUNO LIMA,Gaseiro 7k,2024,5,0.076,0.5359,0.5295,18.1503,109.7,2276.75,238.74
